,Country,No. of Players,Players
0,China,21,"Agressif,Banana,bLink,eLeVeN,END,Faith_bian,Fenrir,Fy,Hao,iceice,Kaka,LaNm,Maybe,Mikasa,MMY!,Mu,Nono,old chicken,Shadow,xiao8,y`"
1,Sweden,11,"AdmiralBulldog,Akke,Chessie,EGM,Era,Handsken,Limmp,Loda,pieliedie,s4,zai"
2,Philippines,10,"Abed,DJ,eyyou,Kim0,Kuku,Nando,Raven,RR,Sam_H,Tims"
3,United States of America,8,"BuLba,DeMoN,Fear,Moo,ppd,swindlemelonzz,UNiVeRsE,ZfreeK"
4,Malaysia,5,"343,ChuaN,MidOne,Mushi,Ohaiyo"
5,South Korea,5,"DuBu,Febby,Forev,MP,QO"
6,Denmark,4,"Cr1t-,N0tail,MiSeRy,syndereN"
7,Germany,4,"FATA-,KheZu,KuroKy,qojqva"
8,Ukraine,4,"Artstyle,Dendi,GeneRaL,Resolut1on"
9,Canada,3,"Arteezy,EternaLEnVy,MoonMeander"
10,Finland,2,"JerAx,MATUMBAMAN"
11,Jordan,2,"Miracle-,YapzOr"
12,Russia,2,"Ditya Ra,SoNNeikO"
13,Australia,1,kpii
14,Bulgaria,1,MinD_ContRoL
15,Estonia,1,Puppey
16,Israel,1,Fly
17,Macedonia,1,Saksa
18,Macau,1,DDC
19,Pakistan,1,SumaiL
20,Romania,1,w33
21,Singapore,1,iceiceice
