,Team,Win--Draw--Loss,Points
0,EHOME,5--2--0,12
1,Digital Chaos,4--3--0,11
2,Newbee,3--2--2,8
3,MVP Phoenix,0--6--1,6
4,Fnatic,2--1--4,5
5,Team Secret,2--1--4,5
6,Team Liquid,1--3--3,5
7,VG.Reborn,1--2--4,4
