,Team,Win--Draw--Loss,Points
0,OG,4--3--0,11
1,Evil Geniuses,3--3--1,9
2,Wings Gaming,3--2--2,8
3,Alliance,3--2--2,8
4,TNC Pro Team,3--1--3,7
5,Natus Vincere,2--2--3,6
6,LGD Gaming,1--3--3,5
7,Escape Gaming,0--2--5,2
