,Standing,Team
1,1st,Evil Geniuses
2,2nd,Digital Chaos
3,3rd,compLexity Gaming
4,4th,FDL
5,5th,Void Boys
6,6th-7th,DrinkingBoys
7,6th-7th,Vultur
