,Team,Win--Loss
0,Evil Geniuses,5--1
1,compLexity Gaming,5--1
2,Digital Chaos,4--2
3,Void Boys,3--3
4,FDL,3--3
5,DrinkingBoys,1--5
6,Vultur,0--6
