,Standing,Team
1,1st,Infamous
2,2nd,paiN Gaming
3,3rd,EgoBoys
4,4th,Thunder Predator
5,5th,Team Ham
6,6th,FURIA Esports
7,7th,Gorillaz-Pride
8,8th,SG e-sports
