,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Infamous,2, EgoBoys,0
1,Upper Bracket Round 1, Thunder Predator,0, paiN Gaming,2
2,Upper Bracket Final, Infamous,1, paiN Gaming,2
3,Lower Bracket Round 1, EgoBoys,2, Thunder Predator,0
4,Lower Bracket Final, Infamous,2, EgoBoys,0
5,Grand Final, paiN Gaming,0, Infamous,3
