,Team,Win--Loss
0,Infamous,6--1
1,Thunder Predator,5--2
2,paiN Gaming,5--2
3,EgoBoys,4--3
4,Team Ham,3--4
5,FURIA Esports,2--5
6,Gorillaz-Pride,2--5
7,SG e-sports,1--6
