,Standing,Team
1,1st,Winstrike Team
2,2nd,Espada
3,3rd,Team Spirit
4,4th,Double Dimension
5,5th-8th,20 min afk les
6,5th-8th,Gambit Esports
7,5th-8th,Team Empire
8,5th-8th,Vega Squadron
