,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Winstrike Team,2, Double Dimension,0
1,Upper Bracket Round 1, Team Spirit,1, Espada,2
2,Upper Bracket Final, Winstrike Team,2, Espada,1
3,Lower Bracket Round 1, Double Dimension,1, Team Spirit,2
4,Lower Bracket Final, Espada,2, Team Spirit,1
5,Grand Final, Winstrike Team,3, Espada,1
