,Team,Win--Loss
0,FlyToMoon,6--1
1,Team Spirit,5--1
2,Espada,5--2
3,Double Dimension,4--3
4,20 min afk les,2--4
5,Gambit Esports,2--4
6,Team Empire,2--5
7,Vega Squadron,0--6
