,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Team Singularity,1, Danish Bears,2
1,Upper Bracket Round 1, Planet Dog,1, mousesports,2
2,Upper Bracket Final, Danish Bears,1, mousesports,2
3,Lower Bracket Round 1, Team Singularity,1, Planet Dog,2
4,Lower Bracket Final, Danish Bears,0, Planet Dog,2
5,Grand Final, mousesports,1, Planet Dog,3
