,Standing,Team
1,1st,Team Secret
2,2nd,Planet Dog
3,3rd,mousesports
4,4th,Danish Bears
5,5th,Team Singularity
6,6th-10th,PENTA Sports
7,6th-10th,4 protect five
8,6th-10th,Alliance
9,6th-10th,Crescendo
10,6th-10th,Cool Beans
