,Team,Win--Loss
0,Team Secret,8--1
1,Team Singularity,7--2
2,Planet Dog,6--3
3,Danish Bears,6--3
4,mousesports,6--3
5,PENTA Sports,3--6
6,4 protect five,3--6
7,Alliance,3--6
8,Crescendo,2--7
9,Cool Beans,1--8
