,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
0,Elder Titan,73,44,29,60.27%,37.63%,38,23,15,60.53%,35,21,14,60.00%
1,Tidehunter,63,33,30,52.38%,32.47%,35,21,14,60.00%,28,12,16,42.86%
2,Earthshaker,61,31,30,50.82%,31.44%,22,11,11,50.00%,39,20,19,51.28%
3,Snapfire,61,28,33,45.90%,31.44%,33,15,18,45.45%,28,13,15,46.43%
4,Io,60,23,37,38.33%,30.93%,35,17,18,48.57%,25,6,19,24.00%
5,Tiny,55,29,26,52.73%,28.35%,28,14,14,50.00%,27,15,12,55.56%
6,Weaver,52,25,27,48.08%,26.80%,25,15,10,60.00%,27,10,17,37.04%
7,Monkey King,48,28,20,58.33%,24.74%,27,17,10,62.96%,21,11,10,52.38%
8,Lion,48,25,23,52.08%,24.74%,20,13,7,65.00%,28,12,16,42.86%
9,Storm Spirit,47,22,25,46.81%,24.23%,29,16,13,55.17%,18,6,12,33.33%
10,Magnus,44,29,15,65.91%,22.68%,20,14,6,70.00%,24,15,9,62.50%
11,Void Spirit,43,21,22,48.84%,22.16%,28,14,14,50.00%,15,7,8,46.67%
12,Mars,41,13,28,31.71%,21.13%,20,8,12,40.00%,21,5,16,23.81%
13,Lina,40,23,17,57.50%,20.62%,15,10,5,66.67%,25,13,12,52.00%
14,Disruptor,39,22,17,56.41%,20.10%,21,12,9,57.14%,18,10,8,55.56%
15,Ember Spirit,36,25,11,69.44%,18.56%,24,19,5,79.17%,12,6,6,50.00%
16,Bane,32,25,7,78.13%,16.49%,11,10,1,90.91%,21,15,6,71.43%
17,Doom,31,20,11,64.52%,15.98%,18,11,7,61.11%,13,9,4,69.23%
18,Morphling,30,18,12,60.00%,15.46%,15,9,6,60.00%,15,9,6,60.00%
19,Lycan,30,13,17,43.33%,15.46%,16,9,7,56.25%,14,4,10,28.57%
20,Legion Commander,29,15,14,51.72%,14.95%,16,10,6,62.50%,13,5,8,38.46%
21,Invoker,29,11,18,37.93%,14.95%,10,4,6,40.00%,19,7,12,36.84%
22,Medusa,27,13,14,48.15%,13.92%,11,6,5,54.55%,16,7,9,43.75%
23,Silencer,26,13,13,50.00%,13.40%,14,8,6,57.14%,12,5,7,41.67%
24,Spectre,25,16,9,64.00%,12.89%,9,8,1,88.89%,16,8,8,50.00%
25,Phoenix,25,11,14,44.00%,12.89%,10,3,7,30.00%,15,8,7,53.33%
26,Kunkka,24,13,11,54.17%,12.37%,13,8,5,61.54%,11,5,6,45.45%
27,Nature's Prophet,23,14,9,60.87%,11.86%,17,10,7,58.82%,6,4,2,66.67%
28,Luna,23,13,10,56.52%,11.86%,16,10,6,62.50%,7,3,4,42.86%
29,Terrorblade,23,12,11,52.17%,11.86%,13,7,6,53.85%,10,5,5,50.00%
30,Leshrac,23,8,15,34.78%,11.86%,14,5,9,35.71%,9,3,6,33.33%
31,Ogre Magi,22,12,10,54.55%,11.34%,12,7,5,58.33%,10,5,5,50.00%
32,Ursa,21,9,12,42.86%,10.82%,13,6,7,46.15%,8,3,5,37.50%
33,Sven,21,8,13,38.10%,10.82%,14,5,9,35.71%,7,3,4,42.86%
34,Night Stalker,20,8,12,40.00%,10.31%,9,4,5,44.44%,11,4,7,36.36%
