,Standing,Team
1,1st,iG Vitality
2,2nd,LGD.Forever Young
3,3rd,LGD Gaming
4,4th,EHOME.Keen
5,5th,Vici Gaming
6,6th-10th,CDEC Gaming
7,6th-10th,EHOME
8,6th-10th,Team MAX
9,6th-10th,Team VGJ
10,6th-10th,FTD club A
