,Team,Win--Loss
0,iG Vitality,7--2
1,LGD Gaming,6--3
2,LGD.Forever Young,5--4
3,Vici Gaming,5--4
4,EHOME.Keen,5--4
5,CDEC Gaming,4--5
6,EHOME,4--5
7,Team MAX,3--6
8,Team VGJ,3--6
9,FTD club A,3--6
