,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, LGD Gaming,0, EHOME.Keen,2
1,Upper Bracket Round 1, LGD.Forever Young,2, Vici Gaming,1
2,Upper Bracket Final, EHOME.Keen,0, LGD.Forever Young,2
3,Qualified, LGD.Forever Young,-,-,-
4,Lower Bracket Final, EHOME.Keen,0, LGD Gaming,2
5,Qualified, LGD Gaming,-,-,-
