,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, SG e-sports,2, Torus Gaming,0
1,Upper Bracket Round 1, paiN Gaming,W, Thunder Predator,-
2,Upper Bracket Final, SG e-sports,1, paiN Gaming,2
3,Lower Bracket Round 1, Torus Gaming,W, Thunder Predator,-
4,Lower Bracket Final, SG e-sports,2, Torus Gaming,0
5,Grand Final, paiN Gaming,3, SG e-sports,2
