,Player,Gold per minute
0,XBOCT,722
1,Ferrari_430,638
2,Silent,588
3,Hao,586
4,Fear,572
5,Arteezy,562
6,QO,561
7,Agressif,550
8,Mu,546
9,SumaiL,544
