,Player,kills per game
0,Ferrari_430,11.0
1,Mu,10.0
2,QO,10.0
3,God,9.2
4,Super,9.1
5,Hao,9.0
6,SumaiL,8.3
7,Silent,8.2
8,Cty,7.7
9,Illidan,7.6
