,Hero,Times Picked
0,Lina,32
1,Dark Seer,21
2,Gyrocopter,21
3,Tusk,20
4,Queen of Pain,20
5,Dazzle,19
6,Shadow Fiend,18
7,Rubick,18
8,Earthshaker,18
9,Storm Spirit,18
