Place,Prize Money,Percentage,Team
1st,"$11,234,158 ",44.00%,OG
2nd,"$4,085,148 ",16.00%,PSG.LGD
3rd,"$2,680,879 ",10.50%,Evil Geniuses
4th,"$1,787,252 ",7.00%,Team Liquid
5th,"$1,148,948 ",4.50%,Virtus.pro
6th,"$1,148,948 ",4.50%,Team Secret
7th,"$638,333 ",2.50%,OpTic Gaming
8th,"$638,333 ",2.50%,VGJ.Storm
9th,"$382,983 ",1.50%,Team Serenity
10th,"$382,983 ",1.50%,Mineski
11th,"$382,983 ",1.50%,Winstrike Team
12th,"$382,983 ",1.50%,Vici Gaming
13th,"$127,661 ",0.50%,Fnatic
14th,"$127,661 ",0.50%,TNC Predator
15th,"$127,661 ",0.50%,Newbee
16th,"$127,661 ",0.50%,VGJ.Thunder
17th,"$63,830 ",0.25%,Invictus Gaming
18th,"$83,830 ",0.25%,paiN Gaming
