,Rank,Country or Region,Representation,Percentage,Players
0,1,China,21,26%,"Agressif, Banana, bLink, eLeVeN, END, Faith_bian, Fenrir, fy, Hao, iceice, Kaka, LaNm, Maybe, Mikasa, MMY!, Mu, Nono, old chicken, shadow, xiao8, y`"
1,2,Sweden,8,10%,"AdmiralBulldog, Akke, EGM, Era, Loda, pieliedie, s4, zai"
2,3,United States,6,8%,"BuLba, DeMoN, Fear, Moo, ppd, UNiVeRsE"
3,4,Malaysia,5,5%,"343, ChuaN, MidOne, Mushi, Ohaiyo"
4,4,Philippines,5,5%,"DJ, eyyou, Kuku, Raven, Sam_H"
5,4,South Korea,5,5%,"DuBu, Febby, Forev, MP, QO"
6,7,Denmark,4,4%,"Cr1t-, MiSeRy, n0tail, syndereN"
7,7,Germany,4,4%,"FATA-, KheZu, KuroKy, qojqva"
8,7,Ukraine,4,4%,"Artstyle, Dendi, GeneRaL, Resolut1on"
9,10,Canada,3,3%,"Arteezy, EternaLEnVy, MoonMeander"
10,11,Finland,2,2%,"JerAx, MATUMBAMAN"
11,11,Jordan,2,2%,"Miracle-, YapzOr"
12,11,Russia,2,2%,"Ditya Ra, SoNNeikO"
13,14,Australia,1,1%,kpii
14,14,Bulgaria,1,1%,MinD_ContRoL
15,14,Estonia,1,1%,Puppey
16,14,Israel,1,1%,Fly
17,14,Macau,1,1%,DDC
18,14,North Macedonia,1,1%,Saksa
19,14,Pakistan,1,1%,SumaiL
20,14,Romania,1,1%,w33
21,14,Singapore,1,1%,iceiceice
