Country,Total From Country 2013
China,23
Malaysia,13
United States,8
Sweden,7
Germany,6
Russia,5
Canada,4
Ukraine,4
Denmark,3
Singapore,3
Estonia,1
Finland,1
Israel,1
Macau,1
