Country,Total From Country 2012
China,23
Russia,8
United States,7
Malayasia,6
Ukraine,6
Australia,4
Canada,4
Singapore,4
Sweden,4
Denmark,3
France,3
Germany,3
Netherlands,2
Croatia,1
Estonia,1
Macau,1
