,Team,Win--Loss
0,Alliance,14--0
1,TongFu,8--6
2,Invictus Gaming,8--6
3,Orange Esports,8--6
4,Team Liquid,7--7
5,LGD International,5--9
6,RattleSnake,3--11
7,Virtus.pro,3--11
