,Player,Kills per game
0,Loda,7.71
1,XBOCT,7.64
2,Sylar,6.77
3,Korok,6.64
4,s4,6.50
5,YamateH,6.43
6,Hao,6.36
7,Dendi,5.93
8,Pajkatt,5.93
9,Ferrari_430,5.71
