,Team1,Result1,Result2,Team2
0,iG,0,1,EHOME
1,Mski,0,1,SGC
2,Mski,0,1,iG
3,EHOME,1,0,SGC
4,SGC,0,1,iG
5,EHOME,1,0,Mski
