Country,Total From Country 2011
China,19
Denmark,9
Russia,7
France,5
Malayasia,5
Philippines,5
Singapore,5
Thailand,5
Czechia,3
Germany,3
Ukraine,3
Slovakia,2
Sweden,2
United States,2
Canada,1
Croatia,1
Estonia,1
Macau,1
Romania,1
