,0,1,2
0,Place,Team,Prize Money
1,1,NewBee,"$5,025,029"
2,2,ViCi Gaming,"$1,466,898"
3,3,Evil Geniuses,"$1,032,262"
4,4,Team DK,"$814,943"
5,5-6,LGD Gaming,"$651,955"
6,5-6,Cloud9,"$651,955"
7,7-8,Invictus Gaming,"$516,131"
8,7-8,Natus Vincere,"$516,131"
9,9-10,Titan,"$48,897"
10,9-10,Team Liquid,"$48,897"
11,11-12,Mousesports,"$38,031"
12,11-12,Alliance,"$38,031"
13,13-14,Fnatic,"$21,732"
14,13-14,Team Empire,"$21,732"
15,15-16,Na'Vi North America,
16,15-16,Arrow Gaming,
17,17,MVP Phoenix,
18,18-19,Virtus.pro,
19,18-19,CIS Game,
