,Place,Team Name
0,1st,LGD Gaming
1,2nd,RattleSnake
2,3rd,Vici Gaming
3,4th,RisingStars
4,5th-8th,First Departure
5,5th-8th,Made in Thailand
6,5th-8th,Ledion Dreamz
7,5th-8th,Mineski
