,Place,Prize Money,Team
0,1,"$1,437,190 ",Alliance
1,2,"$632,364 ",Natus Vincere
2,3,"$287,438 ",Orange Esports
3,4,"$201,207 ",TongFu
4,5,"$114,975 ",Invictus Gaming
5,6,"$114,975 ",Team DK
6,7,"$43,116 ",Team Liquid
7,8,"$43,116 ",Fnactic
8,9,$0 ,Team Dignitas
9,10,$0 ,LGD International
10,11,$0 ,LGD Gaming
11,12,$0 ,Team Zenith
12,13,$0 ,RattleSnake
13,14,$0 ,mousesports
14,15,$0 ,MUFC
15,16,$0 ,Virtus.pro
