,Hero,Times Picked
0,Leshrac,91
1,Venomancer,84
2,Invoker,81
3,Rubick,80
4,Morphling,78
5,Tidehunter,77
6,Chen,66
7,Lone Druid,60
8,Nature's Prophet,55
9,Enchantress,51
