,Place,Prize Money,Team
0,1,"$6,634,661 ",Evil Geniuses
1,2,"$2,856,590 ",CDEC Gaming
2,3,"$2,211,554 ",LGD Gaming
3,4,"$1,566,517 ",Vici Gaming
4,5,"$1,197,925 ",EHOME.cn
5,6,"$1,197,925 ",Virtus.pro
6,7,"$829,333 ",MVP Phoenix
7,8,"$829,333 ",Team Secret
8,9,"$221,155 ",Team Empire
9,10,"$221,155 ",Cloud9
10,11,"$221,155 ",compLexity Gaming
11,12,"$221,155 ",Invictus Gaming
12,13,"$55,289 ",Fnatic
13,14,"$55,289 ",Natus Vincere
14,15,"$55,289 ",Newbee
15,16,"$55,289 ",MVP HOT6ix
