,Team,Win--Loss
0,Invictus Gaming,13--1
1,compLexity Gaming,9--5
2,Orange Esports,8--6
3,Natus Vincere,8--6
4,TongFu,6--8
5,EHOME,6--8
6,Darer,3--11
7,Mortal Teamwork,3--11
