,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, LGD Gaming,2, RisingStars,1
1,Upper Bracket Round 1, Vici Gaming,2, RattleSnake,1
2,Upper Bracket Final, LGD Gaming,2, Vici Gaming,1
3,Lower Bracket Round 1, RisingStars,0, RattleSnake,2
4,Lower Bracket Final, Vici Gaming,1, RattleSnake,2
5,Grand Final, LGD Gaming,3, RattleSnake,0
