Place,Prize Money,Percentage,Team
1st,"$1,000,000 ",62.50%,Natus Vincere
2nd,"$250,000 ",15.63%,EHOME
3rd,"$150,000 ",9.38%,Scythe Gaming
4th,"$80,000 ",5%,Meet Your Makers
5th,"$35,000 ",2.19%,Moscow Five
6th,"$35,000 ",2.19%,Invictus Gaming
7th,"$25,000 ",1.56%,Nirvana.int
8th,"$25,000 ",1.56%,Made in Thailand
9th,$0 ,0%,Virus Gaming
10th,$0 ,0%,TYLOO
11th,$0 ,0%,Mineski
12th,$0 ,0%,MUFC
13th,$0 ,0%,Storm Games Clan
14th,$0 ,0%,GosuGamers
15th,$0 ,0%,OK.Nirvana.cn
16th,$0 ,0%,Next Evolution
