,Place,Prize Money,Team
0,1,"$1,000,000 ",Natus Vincere
1,2,"$250,000 ",EHOME
2,3,"$150,000 ",Scythe Gaming
3,4,"$80,000 ",Meet Your Makers
4,5,"$35,000 ",Moscow Five
5,6,"$35,000 ",Invictus Gaming
6,7,"$25,000 ",Nirvana.int
7,8,"$25,000 ",Made in Thailand
8,9,$0 ,Virus Gaming
9,10,$0 ,TYLOO
10,11,$0 ,Mineski
11,12,$0 ,MUFC
12,13,$0 ,Storm Games Clan
13,14,$0 ,GosuGamers
14,15,$0 ,OK.Nirvana.cn
15,16,$0 ,Next Evolution
