,Team1,Result1,Result2,Team2
0,MYM,0,1,M5
1,MiTH,1,0,MUFC
2,MiTH,0,1,MYM
3,M5,1,0,MUFC
4,MUFC,0,1,MYM
5,M5,0,1,MiTH
