,Place,Team Name
0,1st,Mortal Teamwork
1,2nd,NEXT.kz
2,3rd,mousesports
3,4th,zNation
4,5th-6th,Quantic Gaming
5,5th-6th,Virtus.pro
6,7th-8th,Team Infused
7,7th-8th,Keita Gaming
