Place,Prize Money,Percentage,Team
1st,"$6,634,661 ",36.00%,Evil Geniuses
2nd,"$2,856,590 ",15.50%,CDEC Gaming
3rd,"$2,211,554 ",12.00%,LGD Gaming
4th,"$1,566,517 ",8.50%,Vici Gaming
5th,"$1,197,925 ",6.50%,EHOME
6th,"$1,197,925 ",6.50%,Virtus.pro
7th,"$829,333 ",4.50%,MVP Phoenix
8th,"$829,333 ",4.50%,Team Secret
9th,"$221,155 ",1.20%,Team Empire
10th,"$221,155 ",1.20%,Cloud9
11th,"$221,155 ",1.20%,compLexity Gaming
12th,"$221,155 ",1.20%,Invictus Gaming
13th,"$55,289 ",0.30%,Newbee
14th,"$55,289 ",0.30%,Natus Vincere
15th,"$55,289 ",0.30%,Fnactic
16th,"$55,289 ",0.30%,MVP HOT6ix
