,Team1,Score1,Team2,Score2
0,Zenith,0,LGD,2
1,DK,2,EG,0
2,CLG,2,M5,0
3,mouz,1,aL,1
4,Zenith,1,DK,1
5,LGD,2,EG,0
6,CLG,2,mouz,0
7,M5,1,aL,1
8,Zenith,0,EG,2
9,LGD,2,DK,0
10,CLG,2,aL,0
11,M5,1,mouz,1
12,Zenith,2,CLG,0
13,LGD,2,M5,0
14,DK,2,mouz,0
15,EG,0,aL,2
16,Zenith,2,M5,0
17,DK,2,aL,0
18,Zenith,2,mouz,0
19,LGD,2,aL,0
20,DK,2,CLG,0
21,EG,2,M5,0
22,LGD,2,CLG,0
23,EG,2,mouz,0
24,DK,W,M5,FF
25,LGD,2,mouz,0
26,EG,2,CLG,0
27,Zenith,1,aL,1
