,Hero,Times Banned
0,Lycan,134
1,Naga Siren,133
2,Dark Seer,116
3,Nature's Prophet,90
4,Chen,84
5,Broodmother,79
6,Rubick,72
7,Enchantress,70
8,Tinker,63
9,Invoker,60
