,Place,Team Name
0,1st,TongFu
1,2nd,World Elite
2,3rd,AEONSports
3,4th,Duskbin
4,5th-6th,Ice
5,5th-6th,Made in Thailand
6,7th-8th,Mineski
7,7th-8th,MSI-EvoGT
