,Country,No. of Players,Players
0,China,19,"Awoke,Kabu,DD,Hao,Faith,SanSheng,Zhou,xiao8,Ferrari_430,820,QQQ,X!!,LaNm,SJQ,insence,ksssssss,Banana,Yao,seaking"
1,Denmark,9,"MiSeRy,MaNia,PlaymatE,Maelk,syndereN,AngeL,MiGGel,Ryze,eatenfish"
2,Russia,7,"LighTofHeaveN,Azen,NS,Dread,ARS-ART,Santa,God"
3,France,5,"Maldejambes,VladTepes,Sockshka,Pseudo,Ph0eniX"
4,Malaysia,5,"SilverCross,Net,Sharky,xiaoling,kYxY"
5,Singapore,5,"Hyhy,Xy-,ToFu,Chawy,Roy"
6,Thailand,5,"13nu,TnK,LaKelz,Lookball,aabBAA"
7,Philippines,5,"Wootz,Julz,John,Owa,VASH"
8,Ukraine,3,"Artstyle,Dendi,XBOCT"
9,Germany,3,"KuroKy,Kebap,Kev-"
10,Czech Republic,3,"CraNich,lacek,Tonci"
11,United States,2,"DeMoN,Fear"
12,Sweden,2,"Pajkatt,Mirakel"
13,Slovakia,2,"Tulex,Warlog"
14,Canada,1,1437
15,Croatia,1,Lacoste
16,Estonia,1,Puppey
17,Macau,1,DDC
18,Romania,1,ComeWithMe
