Place,Prize Money,Percentage,Team
1st,"$1,249,445 ",45.00%,Team Liquid
2nd,"$388,721 ",14.00%,Gaimin Gladiators
3rd,"$249,843 ",9.00%,Tundra Esports
4th,"$166,562 ",6.00%,Team Falcons
5th,"$97,180 ",3.50%,Cloud9
6th,"$97,180 ",3.50%,Xtreme Gaming
7th,"$69,382 ",2.50%,BetBoom Team
8th,"$69,382 ",2.50%,Aurora Gaming
9th,"$55,483 ",2.00%,Nouns Esports
10th,"$55,483 ",2.00%,1w Team
11th,"$55,483 ",2.00%,HEROIC
12th,"$55,483 ",2.00%,Team Spirit
13th,"$41,698 ",1.50%,Talon Esports
14th,"$41,698 ",1.50%,Team Zero
15th,"$41,698 ",1.50%,beastcoast
16th,"$41,698 ",1.50%,G2 x IG
,,,
,,,
,,,
,,,
