,Player,Deaths per game
0,eatenfish,12.75
1,769,8.50
2,rmN,8.50
3,Sockshka,8.50
4,Owa,8.40
5,lacek,8.25
6,syndereN,8.25
7,sD,8.00
8,Julz,7.40
9,Mirakel,7.25
