,Place,Prize Money,Team
0,1,"$15,620,181 ",OG
1,2,"$4,462,909 ",Team Liquid
2,3,"$3,089,706 ",PSG.LGD
3,4,"$2,059,804 ",Team Secret
4,5,"$1,201,552 ",Evil Geniuses
5,6,"$1,201,552 ",Vici Gaming
6,7,"$858,252 ",Infamous
7,8,"$858,252 ",Royal Never Give Up
8,9,"$686,601 ",Mineski
9,10,"$686,601 ",Newbee
10,11,"$686,601 ",TNC Predator
11,12,"$686,601 ",Virtus.pro
12,13,"$514,951 ",Alliance
13,14,"$514,951 ",Fnatic
14,15,"$514,951 ",Keen Gaming
15,16,"$514,951 ",Natus Vincere
16,17,"$85,825 ",Chaos Esports Club
17,18,"$85,825 ",Ninjas in Pyjamas
