,Player,Kills per game
0,AngeL,10.25
1,ArtStyle,9.90
2,Pajkatt,9.83
3,Fear,9.40
4,Hao,9.40
5,Silvercross,9.40
6,God,9.29
7,LaKelz,8.83
8,Dendi,8.80
9,xiao8,8.83
