,Place,Prize Money,Team
0,1,"$1,000,000 ",Invictus Gaming
1,2,"$250,000 ",Natus Vincere
2,3,"$150,000 ",LGD Gaming
3,4,"$80,000 ",Team DK
4,5,"$35,000 ",EHOME
5,6,"$35,000 ",Team Zenith
6,7,"$25,000 ",TongFu
7,8,"$25,000 ",Orange Esports
8,9,$0 ,Counter Logic Gaming
9,10,$0 ,compLexity Gaming
10,11,$0 ,Evil Geniuses
11,12,$0 ,Darer
12,13,$0 ,Mortal Teamwork
13,14,$0 ,mousesports
14,15,$0 ,Moscow Five
15,16,$0 ,Absolute Legends
