Place,Prize Money,Percentage,Team
1st,"$5,025,029 ",46.00%,Newbee
2nd,"$1,474,737 ",13.50%,Vici Gaming
3rd,"$1,037,778 ",9.50%,Evil Geniuses
4th,"$819,298 ",7.50%,Team DK
5th,"$655,439 ",6.00%,LGD Gaming
6th,"$655,439 ",6.00%,Cloud9
7th,"$518,889 ",4.75%,Invictus Gaming
8th,"$518,889 ",4.75%,Natus Vincere
9th,"$49,158 ",0.45%,Titan
10th,"$49,158 ",0.45%,Team Liquid
11th,"$38,234 ",0.35%,mousesports
12th,"$38,324 ",0.35%,Alliance
13th,"$21,848 ",0.20%,Team Empire
14th,"$21,848 ",0.20%,Fnatic
15th,$0 ,0.00%,Na'Vi North America
16th,$0 ,0.00%,Arrow Gaming
