,Team1,Result1,Result2,Team2
0,TYLOO,1,0,Nirvana
1,OK,1,0,Virus
2,TYLOO,0,1,OK
3,Nirvana,1,0,Virus
4,Virus,0,1,TYLOO
5,OK,1,0,Nirvana
