,Team,Win--Loss
0,Natus Vincere,11--3
1,Team DK,10--4
2,Fnatic,9--5
3,LGD Gaming,8--6
4,Team Dignitas,8--6
5,Team Zenith,6--8
6,mousesports,4--10
7,MUFC,0--14
