,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, DD.Dota,2, mousesports,0
1,Upper Bracket Round 1, Evil Geniuses,1, RoX.KIS,2
2,Upper Bracket Final, DD.Dota,2, RoX.KIS,1
3,Lower Bracket Round 1, mousesports,2, Evil Geniuses,0
4,Lower Bracket Final, RoX.KIS,0, mousesports,2
5,Grand Final, DD.Dota,1, mousesports,3
