,Place,Team,Prize Money
1,1,Wings Gaming,"$9,139,002 "
2,2,Digital Chaos,"$3,427,126 "
3,3,Evil Geniuses,"$2,180,898 "
4,4,Fnatic,"$1,442,000 "
5,5,EHOME,"$934,671 "
6,6,MVP Phoenix,"$934,671 "
7,7,Team Liquid,"$519,262 "
8,8,TnC Gaming,"$519,262 "
9,9,Alliance,"$311,557 "
10,10,OG,"$311,557 "
11,11,LGD Gaming,"$311,557 "
12,12,Newbee,"$311,557 "
13,13,Escape Gaming,"$103,852 "
14,14,Natus Vincere,"$103,852 "
15,15,Team Secret,"$103,852 "
16,16,Vici Gaming Reborn,"$103,852 "
