,Place,Prize Money,Team
0,1,"$1,249,445 ",Team Liquid
1,2,"$388,721 ",Gaimin Gladiators
2,3,"$249,843 ",Tundra Esports
3,4,"$166,562 ",Team Falcons
4,5,"$97,180 ",Cloud9
5,6,"$97,180 ",Xtreme Gaming
6,7,"$69,382 ",BetBoom Team
7,8,"$69,382 ",Aurora Gaming
8,9,"$55,483 ",Nouns Esports
9,10,"$55,483 ",1w Team
10,11,"$55,483 ",HEROIC
11,12,"$55,483 ",Team Spirit
12,13,"$41,698 ",Talon Esports
13,14,"$41,698 ",Team Zero
14,15,"$41,698 ",beastcoast
15,16,"$41,698 ",G2 x IG
