,Place,Price,PricePoolPercent,Team Name
0,1st,"$1,000,000",62.5%,Invictus Gaming
1,2nd,"$250,000",15.625%,Natus Vincere
2,3rd,"$150,000",9.375%,LGD Gaming
3,4th,"$80,000",5%,Team DK
4,5th-6th,"$35,000",2.1875%,EHOME
5,5th-6th,"$35,000",2.1875%,Team Zenith
6,7th-8th,"$25,000",1.5625%,TongFu
7,7th-8th,"$25,000",1.5625%,Orange Esports
8,9th-12th,-,-,Counter Logic Gaming
9,9th-12th,-,-,compLexity Gaming
10,9th-12th,-,-,Evil Geniuses
11,9th-12th,-,-,Darer
12,13th-16th,-,-,Mortal Teamwork
13,13th-16th,-,-,mousesports
14,13th-16th,-,-,Moscow Five
15,13th-16th,-,-,Absolute Legends
