,Round,Team1,Result1,Team2,Result2
0,Upper Bracket R1 (Bo3), Natus Vincere,2, Orange Esports,1
1,Upper Bracket R1 (Bo3), TongFu,2, Fnatic,0
2,Upper Bracket R1 (Bo3), Alliance,2, LGD Gaming,0
3,Upper Bracket R1 (Bo3), Team DK,2, Invictus Gaming,1
4,Upper Bracket R2 (Bo3), Natus Vincere,2, TongFu,1
5,Upper Bracket R2 (Bo3), Alliance,2, Team DK,1
6,Upper Bracket Final (Bo3), Natus Vincere,0, Alliance,2
7,Lower Bracket R1 (Bo1), Team Dignitas,1, RattleSnake,0
8,Lower Bracket R1 (Bo1), LGD International,1, mousesports,0
9,Lower Bracket R1 (Bo1), Team Liquid,1, MUFC,0
10,Lower Bracket R1 (Bo1), Team Zenith,1, Virtus.pro,0
11,Lower Bracket R2 (Bo1), Orange Esports,1, Team Dignitas,0
12,Lower Bracket R2 (Bo1), Fnatic,1, LGD International,0
13,Lower Bracket R2 (Bo1), LGD Gaming,0, Team Liquid,1
14,Lower Bracket R2 (Bo1), Invictus Gaming,1, Team Zenith,0
15,Lower Bracket R3 (Bo1), Orange Esports,1, Fnatic,0
16,Lower Bracket R3 (Bo1), Team Liquid,0, Invictus Gaming,1
17,Lower Bracket R4 (Bo3), Team DK,1, Orange Esports,2
18,Lower Bracket R4 (Bo3), TongFu,2, Invictus Gaming,1
19,Lower Bracket R5 (Bo3), Orange Esports,2, TongFu,1
20,Lower Bracket Final (Bo3), Natus Vincere,2, Orange Esports,1
21,Grand Final (Bo5), Alliance,3, Natus Vincere,2
