,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
0,Elder Titan,75,42,33,56.00%,38.86%,35,15,20,42.86%,40,27,13,67.50%
1,Shadow Demon,70,39,31,55.71%,36.27%,27,14,13,51.85%,43,25,18,58.14%
2,Tiny,62,33,29,53.23%,32.12%,34,18,16,52.94%,28,15,13,53.57%
3,Ogre Magi,62,27,35,43.55%,32.12%,32,14,18,43.75%,30,13,17,43.33%
4,Gyrocopter,52,32,20,61.54%,26.94%,28,17,11,60.71%,24,15,9,62.50%
5,Leshrac,49,25,24,51.02%,25.39%,21,12,9,57.14%,28,13,15,46.43%
6,Tidehunter,45,28,17,62.22%,23.32%,21,12,9,57.14%,24,16,8,66.67%
7,Kunkka,45,25,20,55.56%,23.32%,24,11,13,45.83%,21,14,7,66.67%
8,Mirana,45,24,21,53.33%,23.32%,24,10,14,41.67%,21,14,7,66.67%
9,Sand King,42,22,20,52.38%,21.76%,22,9,13,40.91%,20,13,7,65.00%
10,Ember Spirit,42,20,22,47.62%,21.76%,24,11,13,45.83%,18,9,9,50.00%
11,Lifestealer,42,18,24,42.86%,21.76%,12,5,7,41.67%,30,13,17,43.33%
12,Rubick,40,24,16,60.00%,20.73%,22,12,10,54.55%,18,12,6,66.67%
13,Crystal Maiden,37,21,16,56.76%,19.17%,20,11,9,55.00%,17,10,7,58.82%
14,Enchantress,36,21,15,58.33%,18.65%,19,10,9,52.63%,17,11,6,64.71%
15,Ancient Apparition,36,19,17,52.78%,18.65%,22,12,10,54.55%,14,7,7,50.00%
16,Sven,35,17,18,48.57%,18.13%,18,7,11,38.89%,17,10,7,58.82%
17,Alchemist,33,20,13,60.61%,17.10%,22,13,9,59.09%,11,7,4,63.64%
18,Earthshaker,33,16,17,48.48%,17.10%,13,5,8,38.46%,20,11,9,55.00%
19,Grimstroke,33,11,22,33.33%,17.10%,15,3,12,20.00%,18,8,10,44.44%
20,Shadow Shaman,29,15,14,51.72%,15.03%,21,11,10,52.38%,8,4,4,50.00%
21,Lina,29,14,15,48.28%,15.03%,15,7,8,46.67%,14,7,7,50.00%
22,Centaur Warrunner,27,14,13,51.85%,13.99%,8,4,4,50.00%,19,10,9,52.63%
23,Faceless Void,26,16,10,61.54%,13.47%,13,7,6,53.85%,13,9,4,69.23%
24,Invoker,26,14,12,53.85%,13.47%,16,7,9,43.75%,10,7,3,70.00%
25,Wraith King,26,13,13,50.00%,13.47%,16,6,10,37.50%,10,7,3,70.00%
26,Slark,26,12,14,46.15%,13.47%,13,4,9,30.77%,13,8,5,61.54%
27,Warlock,25,12,13,48.00%,12.95%,16,7,9,43.75%,9,5,4,55.56%
28,Chen,24,17,7,70.83%,12.44%,12,9,3,75.00%,12,8,4,66.67%
29,Storm Spirit,24,13,11,54.17%,12.44%,10,5,5,50.00%,14,8,6,57.14%
30,Beastmaster,23,10,13,43.48%,11.92%,12,5,7,41.67%,11,5,6,45.45%
31,Abaddon,22,14,8,63.64%,11.40%,13,10,3,76.92%,9,4,5,44.44%
32,Axe,22,11,11,50.00%,11.40%,13,7,6,53.85%,9,4,5,44.44%
33,Omniknight,22,9,13,40.91%,11.40%,13,4,9,30.77%,9,5,4,55.56%
34,Magnus,21,9,12,42.86%,10.88%,11,4,7,36.36%,10,5,5,50.00%
35,Earth Spirit,20,11,9,55.00%,10.36%,12,7,5,58.33%,8,4,4,50.00%
36,Templar Assassin,19,13,6,68.42%,9.84%,10,7,3,70.00%,9,6,3,66.67%
37,Dark Willow,18,9,9,50.00%,9.33%,7,5,2,71.43%,11,4,7,36.36%
38,Enigma,18,9,9,50.00%,9.33%,6,3,3,50.00%,12,6,6,50.00%
39,Juggernaut,18,6,12,33.33%,9.33%,11,4,7,36.36%,7,2,5,28.57%
40,Outworld Destroyer,18,6,12,33.33%,9.33%,8,3,5,37.50%,10,3,7,30.00%
41,Jakiro,17,6,11,35.29%,8.81%,8,2,6,25.00%,9,4,5,44.44%
42,Io,16,12,4,75.00%,8.29%,5,3,2,60.00%,11,9,2,81.82%
