,Team,Win--Loss
0,Vega Squadron,7--2
1,Team Empire,7--2
2,M19,7--2
3,Team Spirit,7--2
4,Natus Vincere,5--4
5,Gambit Esports,4--5
6,Effect,3--6
7,Cyber Anji,3--6
8,Comanche,1--8
9,Double Dimension,1--8
