,Standing,Team
1,1st,Team Empire
2,2nd,Team Spirit
3,3rd,Vega Squadron
4,4th,M19
5,5th-10th,Natus Vincere
6,5th-10th,Gambit Esports
7,5th-10th,Effect
8,5th-10th,Cyber Anji
9,5th-10th,Comanche
10,5th-10th,Double Dimension
