,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Vega Squadron,2, M19,1
1,Upper Bracket Round 1, Team Empire,2, Team Spirit,0
2,Upper Bracket Final, Vega Squadron,0, Team Empire,2
3,Lower Bracket Round 1, M19,0, Team Spirit,2
4,Lower Bracket Final, Vega Squadron,0, Team Spirit,2
5,Grand Final, Team Empire,3, Team Spirit,0
