,Team,Win--Loss
0,Vici Gaming,12--3
1,Evil Geniuses,11--4
2,Team DK,10--5
3,Invictus Gaming,9--6
4,Natus Vincere1,8--7
5,Cloud91,8--7
6,Team Liquid2,8--7
7,Titan2,8--7
8,Newbee,7--8
9,LGD Gaming,7--8
10,mousesports,7--8
11,Alliance3,6--9
12,Team Empire3,6--9
13,Fnatic3,6--9
14,Na`Vi North America,5--10
15,Arrow Gaming,2--13
